image_id,class_name,class_id,x_min,y_min,x_max,y_max
data/train/frame_0.jpg,Allianz,1,0,0,95,24
data/train/frame_1.jpg,No finding,0,0,0,1,1
data/train/frame_2.jpg,Allianz,1,0,200,95,224
data/train/frame_3.jpg,Allianz,1,0,400,95,424
data/train/frame_4.jpg,Allianz,1,200,0,295,24
data/train/frame_5.jpg,Allianz,1,200,200,295,224
data/train/frame_6.jpg,Allianz,1,200,400,295,424
data/train/frame_7.jpg,Allianz,1,400,0,495,24
data/train/frame_8.jpg,Allianz,1,400,200,495,224
data/train/frame_9.jpg,Allianz,1,400,400,495,424
data/train/frame_10.jpg,Allianz,1,600,0,695,24
data/train/frame_11.jpg,No finding,0,0,0,1,1
data/train/frame_12.jpg,Allianz,1,600,200,695,224
data/train/frame_13.jpg,Allianz,1,600,400,695,424
data/train/frame_14.jpg,Allianz,1,800,0,895,24
data/train/frame_15.jpg,Allianz,1,800,200,895,224
data/train/frame_16.jpg,Allianz,1,800,400,895,424
data/train/frame_17.jpg,Allianz,1,0,0,95,24
data/train/frame_18.jpg,Allianz,1,0,200,95,224
data/train/frame_19.jpg,Allianz,1,0,400,95,424
data/train/frame_20.jpg,Allianz,1,200,0,295,24
data/train/frame_21.jpg,No finding,0,0,0,1,1
data/train/frame_22.jpg,Allianz,1,200,200,295,224
data/train/frame_23.jpg,Allianz,1,200,400,295,424
data/train/frame_24.jpg,Allianz,1,400,0,495,24
data/train/frame_25.jpg,Allianz,1,400,200,495,224
data/train/frame_26.jpg,Allianz,1,400,400,495,424
data/train/frame_27.jpg,Allianz,1,600,0,695,24
data/train/frame_28.jpg,Allianz,1,600,200,695,224
data/train/frame_29.jpg,Allianz,1,600,400,695,424
data/train/frame_30.jpg,Allianz,1,800,0,895,24
data/train/frame_31.jpg,No finding,0,0,0,1,1
data/train/frame_32.jpg,Allianz,1,800,200,895,224
data/train/frame_33.jpg,Allianz,1,800,400,895,424
data/train/frame_34.jpg,Allianz,1,0,0,95,24
data/train/frame_35.jpg,Allianz,1,0,200,95,224
data/train/frame_36.jpg,Allianz,1,0,400,95,424
data/train/frame_37.jpg,Allianz,1,200,0,295,24
data/train/frame_38.jpg,Allianz,1,200,200,295,224
data/train/frame_39.jpg,Allianz,1,200,400,295,424
data/train/frame_40.jpg,Allianz,1,400,0,495,24
data/train/frame_41.jpg,No finding,0,0,0,1,1
data/train/frame_42.jpg,Allianz,1,400,200,495,224
data/train/frame_43.jpg,Allianz,1,400,400,495,424
data/train/frame_44.jpg,Allianz,1,600,0,695,24
data/train/frame_45.jpg,Allianz,1,600,200,695,224
data/train/frame_46.jpg,Allianz,1,600,400,695,424
data/train/frame_47.jpg,Allianz,1,800,0,895,24
data/train/frame_48.jpg,Allianz,1,800,200,895,224
data/train/frame_49.jpg,Allianz,1,800,400,895,424
data/train/frame_50.jpg,Allianz,1,0,0,95,24
data/train/frame_51.jpg,No finding,0,0,0,1,1
data/train/frame_52.jpg,Allianz,1,0,200,95,224
data/train/frame_53.jpg,Allianz,1,0,400,95,424
data/train/frame_54.jpg,Allianz,1,200,0,295,24
data/train/frame_55.jpg,Allianz,1,200,200,295,224
data/train/frame_56.jpg,Allianz,1,200,400,295,424
data/train/frame_57.jpg,Allianz,1,400,0,495,24
data/train/frame_58.jpg,Allianz,1,400,200,495,224
data/train/frame_59.jpg,Allianz,1,400,400,495,424
data/train/frame_60.jpg,Allianz,1,600,0,695,24
data/train/frame_61.jpg,No finding,0,0,0,1,1
